Proband_id,n_muts,n_father,n_mother
675,70,51,19
1097,39,26,12
1230,57,42,12
1481,68,53,14
1806,78,61,11
2280,75,63,9
3190,52,40,11
3212,52,43,7
3450,56,42,11
3578,42,36,5
3723,73,61,9
4131,59,39,17
5116,61,50,9
5410,70,52,16
5494,64,53,9
5512,52,41,9
6160,67,59,7
6865,75,55,13
7017,77,65,11
8147,114,78,27
8185,77,66,10
9165,64,52,10
9737,91,69,20
9975,58,47,9
10676,60,42,17
11120,82,68,14
12646,83,65,15
13191,111,78,31
13542,69,59,8
13841,44,38,4
13990,33,25,7
14522,60,45,12
14991,70,42,28
15247,77,61,11
15660,94,79,12
15690,61,46,11
15789,47,32,13
16872,53,42,11
17885,51,37,11
17904,81,60,18
18230,80,53,24
18689,64,50,12
19715,52,40,9
20240,101,78,22
20287,61,38,16
20532,65,52,11
20544,79,61,18
21286,87,64,21
21720,43,32,8
21762,62,50,11
22442,59,45,12
22818,110,86,21
22968,55,47,6
22996,42,35,7
23060,49,42,7
23077,46,38,7
23731,74,53,19
23930,71,62,9
24034,75,53,20
24108,51,43,8
24464,73,66,7
24771,54,40,12
25400,73,64,8
26268,60,49,11
26568,64,46,8
26618,88,68,16
26864,53,46,4
27281,43,36,6
27915,71,55,15
28795,73,53,17
29195,82,59,21
29374,69,56,12
29485,54,41,13
29678,38,27,11
29874,103,74,28
30366,99,77,17
30371,70,53,15
30554,75,58,13
31830,54,47,7
31985,55,41,12
32514,101,74,26
33711,59,44,14
33816,58,40,16
34136,73,60,11
34291,83,58,21
34318,57,47,9
34697,51,36,14
34744,62,47,13
35417,42,30,12
35452,54,43,9
35505,100,84,16
35677,76,56,18
36080,64,47,17
36195,52,44,6
36430,42,25,16
36485,51,44,7
36736,56,44,11
37122,76,69,6
37653,69,54,15
37654,48,33,13
37789,34,17,3
39503,86,73,12
39729,47,32,15
40768,84,69,10
40908,69,47,22
40959,73,62,8
44178,62,54,7
44982,85,72,12
45739,59,49,10
45976,65,44,14
46025,52,40,11
46411,59,40,18
46877,45,36,6
47320,56,44,9
47492,83,68,13
48073,72,63,8
48340,60,51,8
49333,68,55,13
49640,60,46,10
50034,82,53,26
50375,42,32,9
50382,57,41,13
51962,56,40,14
52549,58,42,14
52666,46,34,12
53186,92,81,10
54383,73,62,10
54593,79,67,10
54944,62,46,12
55279,55,44,11
55462,104,82,18
55513,76,49,18
56354,62,46,15
57204,55,45,9
57278,94,72,22
57717,86,66,19
57832,68,56,12
58242,74,55,17
59148,47,30,14
59380,73,58,14
59382,53,38,12
59395,53,44,8
59446,63,52,9
59721,42,29,11
60473,74,59,14
60643,73,60,13
61600,67,49,16
61747,52,38,14
62121,101,79,20
62377,56,40,16
62630,34,28,5
62905,52,38,11
63768,76,60,14
64166,105,88,16
64325,89,65,24
64417,41,35,5
64744,57,47,9
65142,86,67,16
65385,70,57,12
66084,69,48,12
66987,77,62,14
67028,38,31,7
67245,41,29,11
70264,47,38,6
70509,62,44,16
70975,84,61,21
71609,64,52,10
71735,61,52,7
71851,67,54,13
72365,69,58,9
72669,58,45,11
74320,91,70,19
74349,65,53,12
76145,56,44,11
76323,90,77,13
76504,34,27,5
77835,61,50,11
78192,91,69,16
78500,64,54,10
78675,57,47,9
79155,60,46,10
79709,81,72,6
79866,68,57,8
80108,60,44,7
80405,65,52,12
80577,64,50,13
80905,97,75,14
81371,66,55,11
82362,66,49,12
83148,94,76,17
83165,80,66,13
83256,43,30,12
83335,63,51,9
83353,53,34,15
83632,63,49,12
83989,62,41,20
84228,73,51,20
84490,63,47,14
84737,79,58,18
84749,82,61,19
85117,77,62,14
85432,72,57,14
86349,68,59,8
86822,59,53,5
86863,82,61,21
86868,51,43,7
87089,87,64,21
87422,77,61,14
88246,113,87,25
89833,85,65,17
90450,69,55,14
91198,62,55,6
91258,90,64,23
91410,122,111,10
91585,56,43,12
91606,48,37,9
91671,64,49,12
92192,82,68,14
92501,64,49,14
92812,99,80,18
93058,71,57,13
93086,49,43,4
93229,57,45,12
93758,54,42,12
94024,57,43,11
94281,65,50,11
94946,65,51,14
96106,44,33,9
96471,60,52,8
96520,54,42,11
96717,54,34,19
97566,50,39,10
97789,54,39,13
98228,84,67,10
98306,57,45,11
98572,89,71,15
98860,64,47,10
99197,48,38,10
99379,47,38,8
99383,53,44,9
99703,56,43,11
99731,65,49,10
99776,88,66,10
99872,66,52,11
99984,103,91,12
100770,84,72,12
101199,87,70,16
101332,88,55,30
102060,61,53,8
102313,84,55,28
102727,92,77,14
103818,63,45,17
104333,62,46,15
104502,68,57,11
104596,57,42,12
104665,60,42,18
105754,78,67,11
105768,65,43,18
105780,81,64,15
106024,49,39,8
106140,66,53,12
106703,40,34,4
107187,68,50,15
107328,87,77,8
108593,56,50,6
108663,57,40,14
109047,60,45,13
109291,73,58,13
109382,42,35,7
109551,55,45,8
109597,85,67,15
110516,92,59,28
110669,67,53,8
110795,72,58,11
110977,93,67,22
111214,60,46,12
111288,115,93,21
111528,58,43,15
111782,49,38,9
112236,83,65,14
112510,74,55,16
112917,108,76,32
113149,48,38,7
113248,59,43,16
113829,45,41,3
114042,41,28,13
114094,121,98,22
114111,75,61,14
114170,94,78,14
114364,72,56,13
114509,76,64,12
114950,61,53,7
115094,40,34,6
115299,75,63,10
116078,55,46,9
116498,58,50,8
116651,62,47,14
116676,52,40,8
117135,68,57,11
117154,64,53,10
117473,72,52,18
117628,45,40,4
119265,58,42,14
119476,59,52,6
119700,60,44,15
119719,87,67,17
119874,48,39,9
120117,52,34,13
120192,65,50,13
120516,79,54,25
